zone_id,hospital_id,distance_km,travel_cost
Z6,H2,48.43,581.17
Z6,H3,72.69,872.29
Z6,H4,14.39,172.66
Z6,H5,30.34,364.11
Z6,H6,14.08,169.02
Z6,H7,27.12,325.48
Z6,H8,45.02,540.18
Z6,H9,56.25,674.96
Z6,H10,37.48,449.72
Z6,H11,84.4,1012.8
Z6,H12,7.78,93.36
Z6,H13,37.44,449.28
Z6,H14,43.91,526.96
Z6,H15,41.61,499.34
Z6,H16,15.45,185.35
Z6,H17,58.94,707.25
Z6,H18,61.01,732.13
Z6,H19,65.09,781.08
Z6,H20,59.61,715.29
Z7,H1,88.58,1062.92
Z7,H2,52.11,625.28
Z7,H3,82.52,990.24
Z7,H4,66.76,801.17
Z7,H5,23.17,278.03
Z7,H6,49.28,591.34
Z7,H7,40.33,483.96
Z7,H8,91.91,1102.97
Z7,H9,58.6,703.16
Z7,H10,16.4,196.82
Z7,H11,70.44,845.24
Z7,H12,49.11,589.37
Z7,H13,38.74,464.9
Z7,H14,56,672.05
Z7,H15,25.16,301.96
Z7,H16,46.86,562.33
Z7,H17,8.83,106
Z7,H18,9.02,108.28
Z7,H19,77.14,925.64
Z7,H20,22.15,265.76
Z8,H1,60.21,722.5
Z8,H2,33.52,402.18
Z8,H3,2.73,32.81
Z8,H4,82.99,995.83
Z8,H5,76.71,920.55
Z8,H6,86.32,1035.8
Z8,H7,54.09,649.14
Z8,H8,61.38,736.55
Z8,H9,26.52,318.22
Z8,H10,75.43,905.17
Z8,H11,36.67,440.08
Z8,H12,67.5,809.98
Z8,H13,48.79,585.47
Z8,H14,32.69,392.34
Z8,H15,60.54,726.52
Z8,H16,60.51,726.17
Z8,H17,93.92,1127.07
Z8,H18,84.68,1016.14
Z8,H19,9.22,110.59
Z8,H20,68.24,818.82
Z9,H1,51.83,621.94
Z9,H2,45.11,541.33
Z9,H3,20.27,243.2
Z9,H4,81.92,983.02
Z9,H5,85.03,1020.34
Z9,H6,89.31,1071.68
Z9,H7,61.31,735.78
Z9,H8,52.09,625.09
Z9,H9,40.16,481.96
Z9,H10,85.26,1023.17
Z9,H11,54.62,655.45
Z9,H12,70.43,845.18
Z9,H13,58.71,704.54
Z9,H14,41.32,495.78
Z9,H15,71.87,862.45
Z9,H16,64.57,774.84
Z9,H17,105.82,1269.86
Z9,H18,97.85,1174.26
Z9,H19,21.38,256.52
Z9,H20,82.45,989.38
Z10,H1,80.7,968.4
Z10,H2,31.11,373.33
Z10,H3,27.73,332.79
Z10,H4,91.76,1101.08
Z10,H5,70.02,840.23
Z10,H6,88.33,1059.91
Z10,H7,53.34,640.13
Z10,H8,82.76,993.14
Z10,H9,23.9,286.84
Z10,H10,65.77,789.24
Z10,H11,7.05,84.57
Z10,H12,71.79,861.5
Z10,H13,43.93,527.11
Z10,H14,36.95,443.38
Z10,H15,49.74,596.92
Z10,H16,64.08,768.92
Z10,H17,78.15,937.86
Z10,H18,66.64,799.68
Z10,H19,29.67,356.02
Z10,H20,49.05,588.58
Z11,H1,84.25,1011
Z11,H2,43.64,523.73
Z11,H3,73.59,883.13
Z11,H4,66.55,798.57
Z11,H5,23.62,283.44
Z11,H6,50.89,610.64
Z11,H7,34.94,419.24
Z11,H8,87.55,1050.58
Z11,H9,49.71,596.55
Z11,H10,15.72,188.68
Z11,H11,60.97,731.65
Z11,H12,47.07,564.79
Z11,H13,31.41,376.91
Z11,H14,48.21,578.47
Z11,H15,17.6,211.23
Z11,H16,43.42,521.03
Z11,H17,17.96,215.49
Z11,H18,9.91,118.89
Z11,H19,68.48,821.71
Z11,H20,13.23,158.78
Z12,H1,70.54,846.49
Z12,H2,60.36,724.37
Z12,H3,90.07,1080.79
Z12,H4,37.36,448.33
Z12,H5,18.92,227.03
Z12,H6,17.37,208.41
Z12,H7,38.03,456.31
Z12,H8,73.73,884.73
Z12,H9,68.68,824.18
Z12,H10,25.6,307.21
Z12,H11,91.36,1096.35
Z12,H12,29.88,358.56
Z12,H13,45.13,541.58
Z12,H14,59.42,713.04
Z12,H15,39.66,475.95
Z12,H16,33.88,406.52
Z12,H17,37.51,450.16
Z12,H18,44.77,537.23
Z12,H19,82.94,995.23
Z12,H20,51.74,620.94
Z13,H1,55.04,660.5
Z13,H2,9.08,108.91
Z13,H3,40.02,480.19
Z13,H4,54.7,656.36
Z13,H5,34.63,415.59
Z13,H6,49.93,599.15
Z13,H7,14.94,179.28
Z13,H8,58.01,696.17
Z13,H9,17.28,207.36
Z13,H10,33.08,396.92
Z13,H11,42.9,514.79
Z13,H12,33.81,405.66
Z13,H13,6.48,77.78
Z13,H14,11.94,143.28
Z13,H15,19.03,228.41
Z13,H16,26.17,314.09
Z13,H17,52.99,635.82
Z13,H18,45.81,549.68
Z13,H19,33.72,404.62
Z13,H20,32.78,393.32
Z14,H1,71.44,857.25
Z14,H2,38.46,461.55
Z14,H3,69.54,834.51
Z14,H4,52.32,627.86
Z14,H5,10.49,125.9
Z14,H6,37.34,448.13
Z14,H7,23.31,279.76
Z14,H8,74.77,897.24
Z14,H9,45.98,551.79
Z14,H10,3.86,46.35
Z14,H11,64.01,768.08
Z14,H12,32.94,395.27
Z14,H13,23.53,282.38
Z14,H14,40.89,490.63
Z14,H15,12.24,146.83
Z14,H16,29.88,358.59
Z14,H17,25.11,301.31
Z14,H18,23.13,277.51
Z14,H19,63.42,761.03
Z14,H20,23.36,280.27
Z15,H1,28.67,344
Z15,H2,26.88,322.56
Z15,H3,36.2,434.44
Z15,H4,46.28,555.35
Z15,H5,52.11,625.31
Z15,H6,52.68,632.11
Z15,H7,29.01,348.18
Z15,H8,31.16,373.91
Z15,H9,29.97,359.68
Z15,H10,54.44,653.23
Z15,H11,59.14,709.73
Z15,H12,33.91,406.88
Z15,H13,31.54,378.53
Z15,H14,18.94,227.24
Z15,H15,45.09,541.05
Z15,H16,28.69,344.24
Z15,H17,77.3,927.56
Z15,H18,72.48,869.77
Z15,H19,28.82,345.86
Z15,H20,61.15,733.85
Z16,H1,71.41,856.87
Z16,H2,39.65,475.8
Z16,H3,70.74,848.84
Z16,H4,51.45,617.42
Z16,H5,9.08,109.02
Z16,H6,36.12,433.49
Z16,H7,23.75,285.04
Z16,H8,74.74,896.94
Z16,H9,47.25,567.02
Z16,H10,2.37,28.49
Z16,H11,65.55,786.61
Z16,H12,32.41,388.9
Z16,H13,24.57,294.84
Z16,H14,41.86,502.27
Z16,H15,13.7,164.39
Z16,H16,29.7,356.44
Z16,H17,24.77,297.23
Z16,H18,23.61,283.37
Z16,H19,64.54,774.51
Z16,H20,24.74,296.89
Z17,H1,67,803.95
Z17,H2,33.7,404.34
Z17,H3,64.78,777.33
Z17,H4,50.09,601.11
Z17,H5,11.91,142.91
Z17,H6,36.71,440.54
Z17,H7,18.34,220.07
Z17,H8,70.32,843.78
Z17,H9,41.4,496.81
Z17,H10,8.26,99.09
Z17,H11,60.9,730.75
Z17,H12,29.78,357.35
Z17,H13,18.54,222.44
Z17,H14,35.82,429.87
Z17,H15,8.88,106.6
Z17,H16,25.87,310.41
Z17,H17,30.14,361.71
Z17,H18,27.08,324.96
Z17,H19,58.53,702.37
Z17,H20,24.07,288.88
Z18,H1,80.86,970.3
Z18,H2,38.13,457.55
Z18,H3,21.98,263.8
Z18,H4,97.13,1165.6
Z18,H5,80.04,960.43
Z18,H6,96.03,1152.32
Z18,H7,61.19,734.24
Z18,H8,82.48,989.81
Z18,H9,29.89,358.71
Z18,H10,76.48,917.8
Z18,H11,16.64,199.7
Z18,H12,78.45,941.41
Z18,H13,52.7,632.44
Z18,H14,42.08,504.93
Z18,H15,60.43,725.12
Z18,H16,70.81,849.67
Z18,H17,90.25,1083.03
Z18,H18,79,948.04
Z18,H19,26.98,323.71
Z18,H20,61.44,737.23
Z19,H1,88.92,1066.99
Z19,H2,37.35,448.18
Z19,H3,36.39,436.73
Z19,H4,97.9,1174.8
Z19,H5,72.78,873.33
Z19,H6,93,1116.01
Z19,H7,58.35,700.26
Z19,H8,91.07,1092.86
Z19,H9,31.06,372.7
Z19,H10,67.74,812.88
Z19,H11,1.92,23.07
Z19,H12,77.34,928.13
Z19,H13,48.42,581.02
Z19,H14,43.96,527.52
Z19,H15,52.06,624.68
Z19,H16,69.68,836.13
Z19,H17,77.6,931.24
Z19,H18,65.49,785.82
Z19,H19,38.5,461.96
Z19,H20,48.09,577.11
Z20,H1,40.45,485.4
Z20,H2,18.36,220.29
Z20,H3,42.12,505.4
Z20,H4,42.64,511.64
Z20,H5,36.3,435.58
Z20,H6,42.56,510.75
Z20,H7,12.65,151.77
Z20,H8,43.52,522.27
Z20,H9,25.41,304.86
Z20,H10,37.99,455.89
Z20,H11,54.72,656.69
Z20,H12,24.04,288.43
Z20,H13,15.77,189.26
Z20,H14,12.67,152.08
Z20,H15,28.77,345.28
Z20,H16,16.72,200.65
Z20,H17,60.7,728.45
Z20,H18,56.05,672.55
Z20,H19,34.65,415.79
Z20,H20,45.75,549
Z21,H1,81.14,973.67
Z21,H2,26.55,318.56
Z21,H3,37.83,453.9
Z21,H4,85.55,1026.65
Z21,H5,58.2,698.43
Z21,H6,79.24,950.86
Z21,H7,45.16,541.9
Z21,H8,83.64,1003.73
Z21,H9,22.79,273.47
Z21,H10,53.07,636.85
Z21,H11,14.92,179.06
Z21,H12,64.46,773.56
Z21,H13,34.94,419.24
Z21,H14,34.17,410.04
Z21,H15,37.44,449.3
Z21,H16,56.93,683.22
Z21,H17,63.63,763.54
Z21,H18,51.87,622.46
Z21,H19,36.95,443.41
Z21,H20,34.3,411.56
Z22,H1,10.12,121.47
Z22,H2,55.23,662.77
Z22,H3,55.04,660.43
Z22,H4,48.95,587.44
Z22,H5,73.73,884.77
Z22,H6,64.05,768.66
Z22,H7,53.74,644.93
Z22,H8,8.78,105.36
Z22,H9,57.28,687.34
Z22,H10,78,936.05
Z22,H11,84.72,1016.65
Z22,H12,49.16,589.91
Z22,H13,58.86,706.27
Z22,H14,47.33,567.97
Z22,H15,71.68,860.11
Z22,H16,47.97,575.61
Z22,H17,101.47,1217.67
Z22,H18,98.53,1182.35
Z22,H19,49.47,593.69
Z22,H20,88.82,1065.89
Z23,H1,30.67,368.08
Z23,H2,63.9,766.83
Z23,H3,81.05,972.57
Z23,H4,11.83,141.92
Z23,H5,53.92,647.04
Z23,H6,31.77,381.23
Z23,H7,46.91,562.88
Z23,H8,32.75,393
Z23,H9,70.44,845.27
Z23,H10,61.07,732.85
Z23,H11,100.16,1201.87
Z23,H12,29.23,350.76
Z23,H13,56.83,681.92
Z23,H14,57.39,688.73
Z23,H15,63.81,765.69
Z23,H16,34.92,419.04
Z23,H17,82.31,987.75
Z23,H18,84.6,1015.16
Z23,H19,73.65,883.81
Z23,H20,82.25,986.98
Z24,H1,33.43,401.15
Z24,H2,42.43,509.15
Z24,H3,30.86,370.33
Z24,H4,65.38,784.54
Z24,H5,75.48,905.73
Z24,H6,75.09,901.05
Z24,H7,52,623.94
Z24,H8,33.72,404.69
Z24,H9,40.82,489.83
Z24,H10,77.29,927.43
Z24,H11,63.65,763.77
Z24,H12,56.79,681.52
Z24,H13,52.45,629.37
Z24,H14,36.01,432.16
Z24,H15,66.26,795.08
Z24,H16,52.14,625.62
Z24,H17,99.59,1195.03
Z24,H18,93.52,1122.3
Z24,H19,26.95,323.37
Z24,H20,80.18,962.12
Z25,H1,56.61,679.31
Z25,H2,58.41,700.89
Z25,H3,85.42,1025.1
Z25,H4,21.36,256.37
Z25,H5,26.65,319.85
Z25,H6,1.43,17.12
Z25,H7,35.43,425.11
Z25,H8,59.65,715.81
Z25,H9,66.66,799.86
Z25,H10,34.56,414.69
Z25,H11,92.79,1113.53
Z25,H12,19.92,239.06
Z25,H13,44.87,538.43
Z25,H14,55.39,664.64
Z25,H15,44.32,531.86
Z25,H16,26.61,319.28
Z25,H17,51.83,621.95
Z25,H18,56.98,683.77
Z25,H19,77.93,935.13
Z25,H20,60.09,721.04
Z26,H1,27.85,334.18
Z26,H2,70.39,844.64
Z26,H3,84.15,1009.78
Z26,H4,22.21,266.51
Z26,H5,64.22,770.7
Z26,H6,42.21,506.49
Z26,H7,55.47,665.6
Z26,H8,28.95,347.36
Z26,H9,76.24,914.89
Z26,H10,71.24,854.82
Z26,H11,106.11,1273.27
Z26,H12,38.92,467.01
Z26,H13,64.99,779.89
Z26,H14,63.33,759.91
Z26,H15,73.03,876.4
Z26,H16,43.86,526.3
Z26,H17,92.75,1112.97
Z26,H18,94.72,1136.61
Z26,H19,77.04,924.49
Z26,H20,91.6,1099.17
Z27,H1,98.86,1186.34
Z27,H2,45.88,550.58
Z27,H3,46.89,562.72
Z27,H4,105.67,1268.01
Z27,H5,77.15,925.83
Z27,H6,99.23,1190.76
Z27,H7,65.33,783.91
Z27,H8,101.11,1213.33
Z27,H9,40.46,485.53
Z27,H10,71.33,856.02
Z27,H11,12.44,149.23
Z27,H12,84.63,1015.56
Z27,H13,55.09,661.07
Z27,H14,53.02,636.22
Z27,H15,56.41,676.92
Z27,H16,77.09,925.06
Z27,H17,78.1,937.17
Z27,H18,65.49,785.92
Z27,H19,49.09,589.05
Z27,H20,48.9,586.82
Z28,H1,44.15,529.75
Z28,H2,39.94,479.29
Z28,H3,65.98,791.77
Z28,H4,23.65,283.8
Z28,H5,23.86,286.31
Z28,H6,18.67,224.09
Z28,H7,17.89,214.73
Z28,H8,47.46,569.53
Z28,H9,47.99,575.87
Z28,H10,30.12,361.43
Z28,H11,75.51,906.09
Z28,H12,2.63,31.59
Z28,H13,28.16,337.95
Z28,H14,36.19,434.26
Z28,H15,32.44,389.23
Z28,H16,7.18,86.17
Z28,H17,52.76,633.15
Z28,H18,53.4,640.81
Z28,H19,58.47,701.62
Z28,H20,50.67,608
Z29,H1,31.52,378.2
Z29,H2,37.67,452.07
Z29,H3,29.87,358.43
Z29,H4,61.11,733.27
Z29,H5,70.02,840.27
Z29,H6,70.08,840.98
Z29,H7,46.54,558.48
Z29,H8,32.34,388.03
Z29,H9,36.73,440.71
Z29,H10,71.84,862.11
Z29,H11,61.15,733.83
Z29,H12,51.64,619.65
Z29,H13,47.15,565.74
Z29,H14,30.96,371.58
Z29,H15,60.96,731.52
Z29,H16,46.8,561.66
Z29,H17,94.2,1130.35
Z29,H18,88.28,1059.33
Z29,H19,24.81,297.73
Z29,H20,75.19,902.24
Z30,H1,12.25,147
Z30,H2,64.5,773.99
Z30,H3,72.3,867.57
Z30,H4,34.21,410.5
Z30,H5,69.64,835.7
Z30,H6,52.8,633.63
Z30,H7,55.04,660.51
Z30,H8,12.24,146.88
Z30,H9,68.84,826.07
Z30,H10,75.59,907.07
Z30,H11,98.21,1178.48
Z30,H12,43.19,518.22
Z30,H13,63.01,756.14
Z30,H14,56.74,680.89
Z30,H15,73.62,883.43
Z30,H16,45.4,544.85
Z30,H17,98.53,1182.41
Z30,H18,98.27,1179.29
Z30,H19,65.77,789.27
Z30,H20,92.05,1104.54
